jour,mois,an,dep,lat,long,heure,luminosite,cond_atmospheriques,collision,dep_nom,date_accident,heure_entier,date
30,11,2019,93,48.896210000000004,2.470120000000000,01:30:00,Nuit avec éclairage,Normale,Deux véhicules – par le coté,Seine-Saint-Den,11/30/2019 01:30:00,1,11/30/2019
30,11,2019,93,48.930700000000002,2.368800000000000,02:50:00,Nuit sans éclairage,Normale,Autre collision,Seine-Saint-Den,11/30/2019 02:50:00,2,11/30/2019
28,11,2019,92,48.935871800000001,2.319174400000000,15:15:00,Plein jour,Normale,Trois véhicules et plus – en c,Hauts-de-Seine,11/28/2019 15:15:00,15,11/28/2019
30,11,2019,94,48.817329500000000,2.428150200000000,20:20:00,,Normale,Trois véhicules et plus – en c,Val-de-Marne,11/30/2019 20:20:00,20,11/30/2019
30,11,2019,94,48.776361999999999,2.433254000000000,04:00:00,Nuit sans éclairage,Normale,Deux véhicules – par le coté,Val-de-Marne,11/30/2019 04:00:00,4,11/30/2019
27,11,2019,93,48.962190000000000,2.523330000000000,18:15:00,Nuit avec éclairage,Pluie légère,Autre collision,Seine-Saint-Den,11/27/2019 18:15:00,18,11/27/2019
29,11,2019,91,48.718893999999999,2.260610000000000,03:00:00,,Pluie légère,Deux véhicules – par le coté,Essonne,11/29/2019 03:00:00,3,11/29/2019
29,11,2019,91,48.687570000000001,2.289100000000000,15:15:00,Plein jour,Temps couvert,Autre collision,Essonne,11/29/2019 15:15:00,15,11/29/2019
25,11,2019,78,48.846125000000001,2.134620000000000,14:50:00,Plein jour,Temps couvert,Deux véhicules – par le coté,Yvelines,11/25/2019 14:50:00,14,11/25/2019
30,11,2019,78,48.939352000000000,2.077111000000000,01:55:00,Nuit sans éclairage,Normale,Autre collision,Yvelines,11/30/2019 01:55:00,1,11/30/2019
28,11,2019,77,48.960439999999998,2.882330000000000,11:05:00,Plein jour,Temps couvert,Autre collision,Seine-et-Marne,11/28/2019 11:05:00,11,11/28/2019
21,9,2019,92,48.936711799999998,2.299811800000000,15:00:00,Plein jour,Normale,Trois véhicules et plus – en c,Hauts-de-Seine,09/21/2019 15:00:00,15,09/21/2019
21,9,2019,78,48.985911000000002,1.669739000000000,13:20:00,Plein jour,Normale,Deux véhicules – par le coté,Yvelines,09/21/2019 13:20:00,13,09/21/2019
21,9,2019,78,48.782054000000002,2.162321000000000,00:55:00,Nuit avec éclairage,Normale,Deux véhicules – par le coté,Yvelines,09/21/2019 00:55:00,0,09/21/2019
20,9,2019,92,48.934127599999997,2.278963200000000,19:03:00,Plein jour,Normale,Deux véhicules – par le coté,Hauts-de-Seine,09/20/2019 19:03:00,19,09/20/2019
21,9,2019,93,48.960839999999997,2.466210000000000,16:42:00,Plein jour,Normale,Autre collision,Seine-Saint-Den,09/21/2019 16:42:00,16,09/21/2019
21,9,2019,95,48.988410000000002,2.204260000000000,15:50:00,Plein jour,Normale,Autre collision,Val-d Oise,09/21/2019 15:50:00,15,09/21/2019
20,9,2019,93,48.922020000000003,2.378290000000000,20:32:00,,Normale,Deux véhicules – par le coté,Seine-Saint-Den,09/20/2019 20:32:00,20,09/20/2019
20,9,2019,93,48.914549999999998,2.477330000000000,20:30:00,Nuit sans éclairage,Normale,Deux véhicules – par le coté,Seine-Saint-Den,09/20/2019 20:30:00,20,09/20/2019
20,9,2019,95,49.020859999999999,2.534190000000000,18:15:00,Plein jour,Normale,Trois véhicules et plus - coll,Val-d Oise,09/20/2019 18:15:00,18,09/20/2019
21,9,2019,94,48.776226999999999,2.432274700000000,13:10:00,Plein jour,Normale,Deux véhicules – par le coté,Val-de-Marne,09/21/2019 13:10:00,13,09/21/2019
20,9,2019,92,48.799385700000002,2.281261200000000,12:50:00,Plein jour,Normale,Deux véhicules – par le coté,Hauts-de-Seine,09/20/2019 12:50:00,12,09/20/2019
25,7,2019,92,48.905414999999998,2.285685000000000,15:25:00,Plein jour,Normale,Autre collision,Hauts-de-Seine,07/25/2019 15:25:00,15,07/25/2019
20,9,2019,91,48.705800000000004,2.333600000000000,16:40:00,Plein jour,Normale,Autre collision,Essonne,09/20/2019 16:40:00,16,09/20/2019
19,9,2019,91,48.675699999999999,2.385530000000000,20:00:00,,Normale,Deux véhicules – par le coté,Essonne,09/19/2019 20:00:00,20,09/19/2019
19,9,2019,91,48.636249999999997,2.412160000000000,13:35:00,Plein jour,Normale,Deux véhicules - frontale,Essonne,09/19/2019 13:35:00,13,09/19/2019
19,9,2019,78,48.991129999999998,1.707940000000000,22:05:00,Nuit avec éclairage,Normale,Trois véhicules et plus - coll,Yvelines,09/19/2019 22:05:00,22,09/19/2019
19,9,2019,77,48.555920000000000,3.302920000000000,12:10:00,Plein jour,Normale,Autre collision,Seine-et-Marne,09/19/2019 12:10:00,12,09/19/2019
20,9,2019,77,48.881019999999999,2.780330000000000,20:55:00,Nuit sans éclairage,Normale,Autre collision,Seine-et-Marne,09/20/2019 20:55:00,20,09/20/2019
15,2,2019,78,48.717350000000003,2.078363000000000,17:55:00,,Normale,Deux véhicules – par le coté,Yvelines,02/15/2019 17:55:00,17,02/15/2019
16,2,2019,77,49.071610000000000,2.805120000000000,17:10:00,Plein jour,Normale,Deux véhicules – par le coté,Seine-et-Marne,02/16/2019 17:10:00,17,02/16/2019
15,2,2019,77,48.947834000000000,3.126702000000000,09:07:00,Plein jour,Normale,Autre collision,Seine-et-Marne,02/15/2019 09:07:00,9,02/15/2019
15,2,2019,77,48.609214999999999,2.886940000000000,16:40:00,Plein jour,Temps éblouissant,Deux véhicules - frontale,Seine-et-Marne,02/15/2019 16:40:00,16,02/15/2019
16,2,2019,78,48.567093000000000,1.933969000000000,17:45:00,,Normale,Deux véhicules – par le coté,Yvelines,02/16/2019 17:45:00,17,02/16/2019
13,2,2019,78,48.836860000000001,1.935512000000000,13:50:00,Plein jour,Normale,Deux véhicules - frontale,Yvelines,02/13/2019 13:50:00,13,02/13/2019
16,2,2019,78,48.703474000000000,2.017570000000000,15:35:00,Plein jour,Temps éblouissant,Deux véhicules – par le coté,Yvelines,02/16/2019 15:35:00,15,02/16/2019
16,2,2019,78,48.715043999999999,2.001988000000000,14:43:00,Plein jour,Normale,Deux véhicules – par le coté,Yvelines,02/16/2019 14:43:00,14,02/16/2019
16,2,2019,78,49.054209000000000,1.527207000000000,19:50:00,Nuit sans éclairage,Normale,Deux véhicules - frontale,Yvelines,02/16/2019 19:50:00,19,02/16/2019
14,6,2019,93,48.895800000000001,2.409890000000000,07:11:00,Plein jour,Normale,Deux véhicules – par le coté,Seine-Saint-Den,06/14/2019 07:11:00,7,06/14/2019
12,6,2019,93,48.893234000000000,2.413098000000000,11:20:00,Plein jour,Normale,Autre collision,Seine-Saint-Den,06/12/2019 11:20:00,11,06/12/2019
13,6,2019,93,48.886629999999997,2.471640000000000,17:20:00,Plein jour,Pluie légère,Autre collision,Seine-Saint-Den,06/13/2019 17:20:00,17,06/13/2019
13,6,2019,93,48.893729999999998,2.450070000000000,13:45:00,Plein jour,Normale,Trois véhicules et plus – en c,Seine-Saint-Den,06/13/2019 13:45:00,13,06/13/2019
